,anime_id,title,score,score_count,rank,popularity,related,genre,producer
11802,159,Boukyaku no Senritsu,6.4,134,5983.0,3206,"{'Adaptation': [{'mal_id': 44881, 'type': 'manga', 'url': 'https://myanimelist.net/manga/44881/Boukyaku_no_Senritsu', 'title': 'Boukyaku no Senritsu'}]}","Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural","Kadokawa Shoten, TBS, KENMedia"
813,166,Samurai 7,7.57,1005,1438.0,973,"{'Adaptation': [{'mal_id': 10226, 'type': 'manga', 'url': 'https://myanimelist.net/manga/10226/Samurai_7', 'title': 'Samurai 7'}]}","Historical, Mecha, Samurai, Sci-Fi","GDH, Sotsu Music Publishing"
5350,170,Slam Dunk,8.55,846,86.0,753,"{'Adaptation': [{'mal_id': 51, 'type': 'manga', 'url': 'https://myanimelist.net/manga/51/Slam_Dunk', 'title': 'Slam Dunk'}], 'Side story': [{'mal_id': 1764, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1764/Slam_Dunk_Movie', 'title': 'Slam Dunk (Movie)'}, {'mal_id': 1861, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1861/Slam_Dunk__Zenkoku_Seiha_Da_-_Sakuragi_Hanamichi', 'title': 'Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi'}, {'mal_id': 2498, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2498/Slam_Dunk__Shouhoku_Saidai_no_Kiki_Moero_Sakuragi_Hanamichi', 'title': 'Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi'}, {'mal_id': 2499, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2499/Slam_Dunk__Hoero_Basketman-damashii_Hanamichi_to_Rukawa_no_Atsuki_Natsu', 'title': 'Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu'}]}","Comedy, Sports, Drama, School, Shounen","TV Asahi, Animax"
5873,173,Tactics,7.31,256,2407.0,2073,"{'Adaptation': [{'mal_id': 87, 'type': 'manga', 'url': 'https://myanimelist.net/manga/87/Tactics', 'title': 'Tactics'}]}","Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen","Studio Izena, MediaNet"
4202,185,Initial D First Stage,8.28,806,256.0,745,"{'Adaptation': [{'mal_id': 375, 'type': 'manga', 'url': 'https://myanimelist.net/manga/375/Initial_D', 'title': 'Initial D'}], 'Sequel': [{'mal_id': 186, 'type': 'anime', 'url': 'https://myanimelist.net/anime/186/Initial_D_Second_Stage', 'title': 'Initial D Second Stage'}], 'Summary': [{'mal_id': 821, 'type': 'anime', 'url': 'https://myanimelist.net/anime/821/Initial_D_Battle_Stage', 'title': 'Initial D Battle Stage'}, {'mal_id': 12725, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12725/Initial_D__Project_D_to_the_Next_Stage_-_Project_D_e_Mukete', 'title': 'Initial D: Project D to the Next Stage - Project D e Mukete'}, {'mal_id': 19613, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19613/New_Initial_D_Movie__Legend_1_-_Kakusei', 'title': 'New Initial D Movie: Legend 1 - Kakusei'}]}","Action, Cars, Drama, Seinen, Sports","OB Planning, Fuji TV"
3299,196,Onegai☆Twins,6.99,1063,3611.0,1226,"{'Adaptation': [{'mal_id': 741, 'type': 'manga', 'url': 'https://myanimelist.net/manga/741/Onegai☆Twins', 'title': 'Onegai☆Twins'}], 'Parent story': [{'mal_id': 195, 'type': 'anime', 'url': 'https://myanimelist.net/anime/195/Onegai☆Teacher', 'title': 'Onegai☆Teacher'}, {'mal_id': 443, 'type': 'anime', 'url': 'https://myanimelist.net/anime/443/Onegai☆Teacher__Himitsu_na_Futari', 'title': 'Onegai☆Teacher: Himitsu na Futari'}], 'Sequel': [{'mal_id': 524, 'type': 'anime', 'url': 'https://myanimelist.net/anime/524/Onegai☆Twins__Natsu_wa_Owaranai', 'title': 'Onegai☆Twins: Natsu wa Owaranai'}]}","Comedy, Drama, Harem, School, Sci-Fi","Bandai Visual, Genco, Lantis"
10286,198,Speed Grapher,7.43,688,1910.0,1073,"{'Adaptation': [{'mal_id': 5434, 'type': 'manga', 'url': 'https://myanimelist.net/manga/5434/Speed_Grapher', 'title': 'Speed Grapher'}]}","Action, Mystery, Super Power","TV Asahi, WAO World, TAP"
1897,208,R.O.D OVA,7.75,636,1000.0,1590,"{'Adaptation': [{'mal_id': 137, 'type': 'manga', 'url': 'https://myanimelist.net/manga/137/ROD__Read_or_Die', 'title': 'R.O.D: Read or Die'}], 'Sequel': [{'mal_id': 209, 'type': 'anime', 'url': 'https://myanimelist.net/anime/209/ROD_the_TV', 'title': 'R.O.D the TV'}]}","Action, Adventure, Historical, Magic, Mystery, Sci-Fi","Aniplex, SME Visual Works"
18,210,Ranma ½,7.85,935,802.0,623,"{'Adaptation': [{'mal_id': 23, 'type': 'manga', 'url': 'https://myanimelist.net/manga/23/Ranma_½', 'title': 'Ranma ½'}], 'Side story': [{'mal_id': 418, 'type': 'anime', 'url': 'https://myanimelist.net/anime/418/Ranma_½__Chuugoku_Nekonron_Daikessen_Okite_Yaburi_no_Gekitou-hen', 'title': 'Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!'}, {'mal_id': 792, 'type': 'anime', 'url': 'https://myanimelist.net/anime/792/Ranma_½__Kessen_Tougenkyou_Hanayome_wo_Torimodose', 'title': 'Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!'}, {'mal_id': 1008, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1008/Ranma_½_Specials', 'title': 'Ranma ½ Specials'}, {'mal_id': 5493, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5493/Ranma_½__Akumu_Shunmin_Kou', 'title': 'Ranma ½: Akumu! Shunmin Kou'}], 'Sequel': [{'mal_id': 1007, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1007/Ranma_½_OVA', 'title': 'Ranma ½ OVA'}], 'Other': [{'mal_id': 6713, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6713/Ranma_½__Nettou_Uta_Gassen', 'title': 'Ranma ½: Nettou Uta Gassen'}, {'mal_id': 10819, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10819/Ranma_½__Tendou-ke_no_Oyobidenai_Yatsura', 'title': 'Ranma ½: Tendou-ke no Oyobidenai Yatsura!'}, {'mal_id': 10822, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10822/Ranma_½__Totteoki_Talk_Best_of_Memories', 'title': 'Ranma ½: Totteoki Talk Best of Memories'}, {'mal_id': 10823, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10823/Ranma_½__1994_Music_Calendar', 'title': 'Ranma ½: 1994 Music Calendar'}, {'mal_id': 10824, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10824/Ranma_½__DoCo_Music_Video', 'title': 'Ranma ½: DoCo Music Video'}, {'mal_id': 10825, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10825/Ranma_½__Battle_ga_Ippai_29-nin_no_Korinai_Yatsura', 'title': 'Ranma ½: Battle ga Ippai 29-nin no Korinai Yatsura'}]}","Slice of Life, Comedy, Martial Arts, Fantasy","Shogakukan Productions, Kitty Films, Fuji TV, Shogakukan"
46,232,Cardcaptor Sakura,8.21,2218,297.0,292,"{'Adaptation': [{'mal_id': 106, 'type': 'manga', 'url': 'https://myanimelist.net/manga/106/Cardcaptor_Sakura', 'title': 'Cardcaptor Sakura'}], 'Side story': [{'mal_id': 371, 'type': 'anime', 'url': 'https://myanimelist.net/anime/371/Cardcaptor_Sakura_Movie_1', 'title': 'Cardcaptor Sakura Movie 1'}, {'mal_id': 2424, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2424/Suteki_desu_wa_Sakura-chan_Tomoyo_no_Cardcaptor_Sakura_Katsuyaku_Video_Nikki', 'title': 'Suteki desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!'}], 'Sequel': [{'mal_id': 372, 'type': 'anime', 'url': 'https://myanimelist.net/anime/372/Cardcaptor_Sakura_Movie_2__Fuuin_Sareta_Card', 'title': 'Cardcaptor Sakura Movie 2: Fuuin Sareta Card'}, {'mal_id': 35320, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35320/Cardcaptor_Sakura__Clear_Card-hen_Prologue_-_Sakura_to_Futatsu_no_Kuma', 'title': 'Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma'}]}","Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo","NHK, Kodansha, Sogo Vision, YTV"
7889,240,Genshiken,7.72,1292,1059.0,700,"{'Adaptation': [{'mal_id': 348, 'type': 'manga', 'url': 'https://myanimelist.net/manga/348/Genshiken', 'title': 'Genshiken'}], 'Spin-off': [{'mal_id': 669, 'type': 'anime', 'url': 'https://myanimelist.net/anime/669/Kujibiki_Unbalance', 'title': 'Kujibiki Unbalance'}], 'Sequel': [{'mal_id': 1813, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1813/Genshiken_OVA', 'title': 'Genshiken OVA'}]}","Slice of Life, Comedy, Parody","Genco, Lantis, Kids Station, Toshiba Entertainment"
1056,247,Harukanaru Toki no Naka de: Hachiyou Shou,7.14,114,3040.0,2884,"{'Adaptation': [{'mal_id': 1146, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1146/Harukanaru_Toki_no_Naka_de', 'title': 'Harukanaru Toki no Naka de'}], 'Alternative version': [{'mal_id': 647, 'type': 'anime', 'url': 'https://myanimelist.net/anime/647/Harukanaru_Toki_no_Naka_de__Ajisai_Yumegatari', 'title': 'Harukanaru Toki no Naka de: Ajisai Yumegatari'}], 'Sequel': [{'mal_id': 1904, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1904/Harukanaru_Toki_no_Naka_de_2__Shiroki_Ryuu_no_Miko', 'title': 'Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko'}, {'mal_id': 1905, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1905/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou_Specials', 'title': 'Harukanaru Toki no Naka de: Hachiyou Shou Specials'}], 'Side story': [{'mal_id': 1906, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1906/Harukanaru_Toki_no_Naka_de__Maihitoyo', 'title': 'Harukanaru Toki no Naka de: Maihitoyo'}, {'mal_id': 1907, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1907/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou_OVA', 'title': 'Harukanaru Toki no Naka de: Hachiyou Shou OVA'}], 'Summary': [{'mal_id': 30145, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30145/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou_Recap', 'title': 'Harukanaru Toki no Naka de: Hachiyou Shou Recap'}]}","Fantasy, Magic, Supernatural, Demons, Historical, Shoujo",Yumeta Company
5753,265,Hajime no Ippo: Mashiba vs. Kimura,8.27,684,264.0,1472,"{'Adaptation': [{'mal_id': 7, 'type': 'manga', 'url': 'https://myanimelist.net/manga/7/Hajime_no_Ippo', 'title': 'Hajime no Ippo'}], 'Prequel': [{'mal_id': 264, 'type': 'anime', 'url': 'https://myanimelist.net/anime/264/Hajime_no_Ippo__Champion_Road', 'title': 'Hajime no Ippo: Champion Road'}], 'Sequel': [{'mal_id': 5258, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger', 'title': 'Hajime no Ippo: New Challenger'}]}","Comedy, Shounen, Sports",
4185,290,Seikai no Monshou,7.79,276,909.0,2031,"{'Adaptation': [{'mal_id': 5490, 'type': 'manga', 'url': 'https://myanimelist.net/manga/5490/Seikai_no_Monshou', 'title': 'Seikai no Monshou'}], 'Sequel': [{'mal_id': 396, 'type': 'anime', 'url': 'https://myanimelist.net/anime/396/Seikai_no_Senki', 'title': 'Seikai no Senki'}], 'Prequel': [{'mal_id': 1124, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1124/Seikai_no_Danshou__Tanjou', 'title': 'Seikai no Danshou: Tanjou'}], 'Summary': [{'mal_id': 1381, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1381/Seikai_no_Monshou_Special', 'title': 'Seikai no Monshou Special'}]}","Action, Military, Sci-Fi, Space, Romance","Bandai Visual, WOWOW, BeSTACK"
1430,317,Final Fantasy VII: Advent Children,7.88,2904,733.0,500,"{'Prequel': [{'mal_id': 408, 'type': 'anime', 'url': 'https://myanimelist.net/anime/408/Final_Fantasy_VII__Last_Order', 'title': 'Final Fantasy VII: Last Order'}], 'Alternative version': [{'mal_id': 2952, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2952/Final_Fantasy_VII__Advent_Children_Complete', 'title': 'Final Fantasy VII: Advent Children Complete'}], 'Side story': [{'mal_id': 6151, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6151/Final_Fantasy_VII__On_the_Way_to_a_Smile_-_Episode__Denzel', 'title': 'Final Fantasy VII: On the Way to a Smile - Episode: Denzel'}], 'Summary': [{'mal_id': 6152, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6152/Final_Fantasy_VII__Advent_Children_-_Venice_Film_Festival_Footage', 'title': 'Final Fantasy VII: Advent Children - Venice Film Festival Footage'}]}","Action, Super Power, Fantasy",
1699,325,Peach Girl,7.13,705,3094.0,1362,"{'Adaptation': [{'mal_id': 475, 'type': 'manga', 'url': 'https://myanimelist.net/manga/475/Peach_Girl', 'title': 'Peach Girl'}]}","Slice of Life, Drama, Romance, Shoujo","TV Tokyo, Marvelous, Studio Jack"
2173,329,Planetes,8.36,785,190.0,599,"{'Adaptation': [{'mal_id': 481, 'type': 'manga', 'url': 'https://myanimelist.net/manga/481/Planetes', 'title': 'Planetes'}], 'Other': [{'mal_id': 10735, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10735/Planetes_Picture_Drama', 'title': 'Planetes Picture Drama'}]}","Drama, Romance, Sci-Fi, Seinen, Space","Bandai Visual, NHK"
1351,339,Serial Experiments Lain,8.0,1891,560.0,224,"{'Adaptation': [{'mal_id': 5461, 'type': 'manga', 'url': 'https://myanimelist.net/manga/5461/Serial_Experiments_Lain__The_Nightmare_of_Fabrication', 'title': 'Serial Experiments Lain: The Nightmare of Fabrication'}]}","Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural","TV Tokyo, Geneon Universal Entertainment, Genco, Pioneer LDC, TV Tokyo Music, Fuji Pacific Music Publishing"
1558,385,Gilgamesh,6.75,195,4526.0,2171,"{'Adaptation': [{'mal_id': 22897, 'type': 'manga', 'url': 'https://myanimelist.net/manga/22897/Gilgamesh', 'title': 'Gilgamesh'}]}","Drama, Fantasy, Sci-Fi, Supernatural",Kansai Telecasting
6542,394,Ai Yori Aoshi: Enishi,7.23,587,2675.0,1694,"{'Prequel': [{'mal_id': 53, 'type': 'anime', 'url': 'https://myanimelist.net/anime/53/Ai_Yori_Aoshi', 'title': 'Ai Yori Aoshi'}], 'Side story': [{'mal_id': 3266, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3266/Ai_Yori_Aoshi__Enishi_-_Miyuki', 'title': 'Ai Yori Aoshi: Enishi - Miyuki'}]}","Comedy, Drama, Harem, Romance, Slice of Life","Geneon Universal Entertainment, Rondo Robe, Movic, Cosmic Ray"
6802,398,Seikai no Senki III,7.81,148,865.0,3339,"{'Adaptation': [{'mal_id': 11039, 'type': 'manga', 'url': 'https://myanimelist.net/manga/11039/Seikai_no_Senki', 'title': 'Seikai no Senki'}], 'Prequel': [{'mal_id': 397, 'type': 'anime', 'url': 'https://myanimelist.net/anime/397/Seikai_no_Senki_II', 'title': 'Seikai no Senki II'}]}","Action, Military, Romance, Sci-Fi, Space","Bandai Visual, BeSTACK"
7611,452,InuYasha: Toki wo Koeru Omoi,7.68,873,1150.0,1357,"{'Parent story': [{'mal_id': 249, 'type': 'anime', 'url': 'https://myanimelist.net/anime/249/InuYasha', 'title': 'InuYasha'}]}","Adventure, Comedy, Demons, Drama, Fantasy, Historical, Romance, Shounen, Super Power",
