,anime_id,title,score,score_count,rank,popularity,background,related,genre
6880,1563,Magic Knight Rayearth II,7.6,805,1353.0,2536,,"{'Adaptation': [{'mal_id': 697, 'type': 'manga', 'url': 'https://myanimelist.net/manga/697/Magic_Knight_Rayearth_2', 'title': 'Magic Knight Rayearth 2'}], 'Prequel': [{'mal_id': 435, 'type': 'anime', 'url': 'https://myanimelist.net/anime/435/Magic_Knight_Rayearth', 'title': 'Magic Knight Rayearth'}]}","Adventure, Drama, Fantasy, Magic, Mecha, Romance, Shoujo"
4823,1578,Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,6.99,150,3605.0,4006,,"{'Adaptation': [{'mal_id': 7852, 'type': 'manga', 'url': 'https://myanimelist.net/manga/7852/Angelique', 'title': 'Angelique'}], 'Sequel': [{'mal_id': 1864, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1864/Koisuru_Tenshi_Angelique__Kagayaki_no_Ashita', 'title': 'Koisuru Tenshi Angelique: Kagayaki no Ashita'}], 'Spin-off': [{'mal_id': 2534, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2534/Angelique', 'title': 'Angelique'}, {'mal_id': 2536, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2536/Angelique__Shiroi_Tsubasa_no_Memoire', 'title': 'Angelique: Shiroi Tsubasa no Memoire'}], 'Side story': [{'mal_id': 5783, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5783/Koisuru_Tenshi_Angelique__Chibi_Character_Adventure', 'title': 'Koisuru Tenshi Angelique: Chibi Character Adventure'}]}","Adventure, Comedy, Drama, Fantasy, Magic, Romance, Sci-Fi, Shoujo"
9282,1588,Mamoru-kun ni Megami no Shukufuku wo!,7.16,545,2968.0,2687,,"{'Adaptation': [{'mal_id': 25478, 'type': 'manga', 'url': 'https://myanimelist.net/manga/25478/Mamoru-kun_ni_Megami_no_Shukufuku_wo', 'title': 'Mamoru-kun ni Megami no Shukufuku wo!'}]}","Comedy, Romance, School"
8926,1620,Maps,5.88,31,7626.0,7876,,"{'Adaptation': [{'mal_id': 3818, 'type': 'manga', 'url': 'https://myanimelist.net/manga/3818/MAPS', 'title': 'MAPS'}], 'Alternative version': [{'mal_id': 3183, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3183/MAPS__Densetsu_no_Samayoeru_Seijin-tachi', 'title': 'MAPS: Densetsu no Samayoeru Seijin-tachi'}]}","Action, Sci-Fi, Adventure, Space, Comedy, Shounen"
805,1622,Kai Doh Maru,5.68,249,8036.0,4464,,[],"Action, Fantasy, Historical, Magic"
12837,1670,Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi,6.67,229,4877.0,4379,"Bakuten Shoot Beyblade the Movie was screened alongside Saru Getchu Movie: Ougon no Pipo Helmet - Ukki Battle. The two movies were previewed during an event on August 11, 2002, before opening to the public on August 17.","{'Parent story': [{'mal_id': 1669, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1669/Bakuten_Shoot_Beyblade_2002', 'title': 'Bakuten Shoot Beyblade 2002'}]}","Action, Adventure, Comedy, Sci-Fi, Shounen, Sports"
337,1693,Reideen,6.63,150,5082.0,4399,,"{'Adaptation': [{'mal_id': 10355, 'type': 'manga', 'url': 'https://myanimelist.net/manga/10355/Reideen', 'title': 'Reideen'}], 'Spin-off': [{'mal_id': 2127, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2127/Chouja_Raideen', 'title': 'Chouja Raideen'}], 'Alternative version': [{'mal_id': 2128, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2128/Yuusha_Raideen', 'title': 'Yuusha Raideen'}]}","Action, Mecha, Sci-Fi"
8853,1718,Winter Garden,6.69,195,4824.0,4563,,"{'Spin-off': [{'mal_id': 293, 'type': 'anime', 'url': 'https://myanimelist.net/anime/293/Di_Gi_Charat', 'title': 'Di Gi Charat'}]}","Drama, Romance, Shoujo, Slice of Life"
5691,1720,To Heart 2 OVA,7.0,157,3584.0,4790,,"{'Prequel': [{'mal_id': 471, 'type': 'anime', 'url': 'https://myanimelist.net/anime/471/To_Heart_2', 'title': 'To Heart 2'}], 'Sequel': [{'mal_id': 4166, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4166/To_Heart_2_AD', 'title': 'To Heart 2 AD'}]}","Comedy, Drama, Harem, Romance, School"
2420,1729,Maria-sama ga Miteru 3rd,7.95,451,619.0,3137,,"{'Adaptation': [{'mal_id': 4177, 'type': 'manga', 'url': 'https://myanimelist.net/manga/4177/Maria-sama_ga_Miteru', 'title': 'Maria-sama ga Miteru'}], 'Prequel': [{'mal_id': 444, 'type': 'anime', 'url': 'https://myanimelist.net/anime/444/Maria-sama_ga_Miteru__Haru', 'title': 'Maria-sama ga Miteru: Haru'}], 'Side story': [{'mal_id': 2954, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2954/Maria-sama_ga_Miteru_3rd_Specials', 'title': 'Maria-sama ga Miteru 3rd Specials'}], 'Sequel': [{'mal_id': 3750, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3750/Maria-sama_ga_Miteru_4th', 'title': 'Maria-sama ga Miteru 4th'}]}","Drama, School, Shoujo Ai, Slice of Life"
13242,1734,Ajimu: Kaigan Monogatari,6.44,333,5833.0,3630,,[],"Comedy, Drama, Romance, School"
5154,1763,Midnight Panther,5.82,38,,7525,,"{'Adaptation': [{'mal_id': 1765, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1765/Midnight_Panther', 'title': 'Midnight Panther'}]}","Action, Adventure, Fantasy, Hentai"
3218,1767,Psycho Diver: Mashou Bosatsu,5.87,52,7649.0,6217,,[],"Horror, Psychological, Sci-Fi"
5880,1773,Hokuto no Ken: Raoh Gaiden Junai-hen,7.54,158,1525.0,4370,,"{'Side story': [{'mal_id': 967, 'type': 'anime', 'url': 'https://myanimelist.net/anime/967/Hokuto_no_Ken', 'title': 'Hokuto no Ken'}], 'Sequel': [{'mal_id': 3027, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3027/Hokuto_no_Ken__Yuria-den', 'title': 'Hokuto no Ken: Yuria-den'}]}","Action, Adventure, Martial Arts"
6960,1788,Yuuguu Settai: Kotou no Gokuraku e Youkoso,5.77,60,,6318,,[],Hentai
5478,1808,Kamichama Karin,7.46,837,1777.0,1916,,"{'Adaptation': [{'mal_id': 35, 'type': 'manga', 'url': 'https://myanimelist.net/manga/35/Kamichama_Karin', 'title': 'Kamichama Karin'}]}","Comedy, Fantasy, Magic, Romance, School, Shoujo"
11244,1829,Gedo Senki,7.13,2651,3072.0,1125,"Winner of the Raspberry Award (Bunshun Kiichigo Awards) in 2007.The Earthsea saga consitsts of:A Wizard of Earthsea, The Tombs of Atuan, The Farthest Shore, Tehanu, The Other Windand many short stories.Judging from the description it seems the thirst three volumes are somewhat mixed together and rewritten for the movie. ",[],"Adventure, Fantasy, Magic"
6515,1843,Yomigaeru Sora: Rescue Wings Special,7.04,81,3435.0,6719,,"{'Sequel': [{'mal_id': 798, 'type': 'anime', 'url': 'https://myanimelist.net/anime/798/Yomigaeru_Sora__Rescue_Wings', 'title': 'Yomigaeru Sora: Rescue Wings'}]}","Drama, Military, Seinen"
715,1846,Princess Nine: Kisaragi Joshikou Yakyuubu,7.27,129,2539.0,4239,,"{'Adaptation': [{'mal_id': 76405, 'type': 'manga', 'url': 'https://myanimelist.net/manga/76405/Princess_Nine__Kisaragi_Joshikou_Yakyuubu', 'title': 'Princess Nine: Kisaragi Joshikou Yakyuubu'}]}","Sports, Romance, Drama"
6425,1857,Taiyou no Mokushiroku: A Spirit of the Sun,7.05,37,3388.0,7087,,"{'Adaptation': [{'mal_id': 3224, 'type': 'manga', 'url': 'https://myanimelist.net/manga/3224/Taiyou_no_Mokushiroku', 'title': 'Taiyou no Mokushiroku'}]}","Drama, Sci-Fi"
8595,1882,Sasami: Mahou Shoujo Club 2,6.84,61,4164.0,6154,,"{'Prequel': [{'mal_id': 1881, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1881/Sasami__Mahou_Shoujo_Club', 'title': 'Sasami: Mahou Shoujo Club'}]}","Fantasy, Magic, School"
3811,1903,Stratos 4: Logbook,6.44,37,5855.0,7860,,"{'Full story': [{'mal_id': 421, 'type': 'anime', 'url': 'https://myanimelist.net/anime/421/Stratos_4', 'title': 'Stratos 4'}, {'mal_id': 422, 'type': 'anime', 'url': 'https://myanimelist.net/anime/422/Stratos_4_OVA', 'title': 'Stratos 4 OVA'}]}","Action, Ecchi, Sci-Fi"
904,1913,Shonan Junai Gumi!,7.57,675,1444.0,2332,,"{'Adaptation': [{'mal_id': 444, 'type': 'manga', 'url': 'https://myanimelist.net/manga/444/Bad_Company', 'title': 'Bad Company'}, {'mal_id': 445, 'type': 'manga', 'url': 'https://myanimelist.net/manga/445/Shonan_Junai_Gumi', 'title': 'Shonan Junai Gumi!'}], 'Sequel': [{'mal_id': 245, 'type': 'anime', 'url': 'https://myanimelist.net/anime/245/Great_Teacher_Onizuka', 'title': 'Great Teacher Onizuka'}]}","Action, Comedy, School"
9904,1916,Mobile Suit Gundam MS IGLOO: Apocalypse 0079,7.03,275,3467.0,3816,,"{'Prequel': [{'mal_id': 1917, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1917/Mobile_Suit_Gundam_MS_IGLOO__The_Hidden_One_Year_War', 'title': 'Mobile Suit Gundam MS IGLOO: The Hidden One Year War'}], 'Sequel': [{'mal_id': 4232, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4232/Mobile_Suit_Gundam_MS_IGLOO_2__Gravity_of_the_Battlefront', 'title': 'Mobile Suit Gundam MS IGLOO 2: Gravity of the Battlefront'}]}","Mecha, Military, Sci-Fi, Space"
3540,1918,Mahou Shoujo Pretty Sammy,6.47,140,5728.0,4869,,"{'Spin-off': [{'mal_id': 696, 'type': 'anime', 'url': 'https://myanimelist.net/anime/696/Tenchi_Muyou', 'title': 'Tenchi Muyou!'}, {'mal_id': 2725, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2725/Tenchi_Muyou__Galaxy_Police_Mihoshi_Space_Adventure', 'title': 'Tenchi Muyou!: Galaxy Police Mihoshi Space Adventure'}], 'Alternative version': [{'mal_id': 1502, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1502/Mahou_Shoujo_Pretty_Sammy_1996', 'title': 'Mahou Shoujo Pretty Sammy (1996)'}]}","Comedy, Parody, Magic, Fantasy"
13608,1932,Yes! Precure 5,7.26,100,2596.0,3980,,"{'Adaptation': [{'mal_id': 25925, 'type': 'manga', 'url': 'https://myanimelist.net/manga/25925/Yes_Precure_5', 'title': 'Yes! Precure 5'}], 'Alternative setting': [{'mal_id': 603, 'type': 'anime', 'url': 'https://myanimelist.net/anime/603/Futari_wa_Precure', 'title': 'Futari wa Precure'}, {'mal_id': 1534, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1534/Futari_wa_Precure__Splash☆Star', 'title': 'Futari wa Precure: Splash☆Star'}, {'mal_id': 1929, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1929/Futari_wa_Precure__Max_Heart', 'title': 'Futari wa Precure: Max Heart'}, {'mal_id': 5684, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5684/Fresh_Precure', 'title': 'Fresh Precure!'}, {'mal_id': 7645, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7645/Heartcatch_Precure', 'title': 'Heartcatch Precure!'}, {'mal_id': 9893, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9893/Suite_Precure♪', 'title': 'Suite Precure♪'}, {'mal_id': 12191, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12191/Smile_Precure', 'title': 'Smile Precure!'}, {'mal_id': 16419, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16419/Dokidoki_Precure', 'title': 'Dokidoki! Precure'}, {'mal_id': 21407, 'type': 'anime', 'url': 'https://myanimelist.net/anime/21407/Happiness_Charge_Precure', 'title': 'Happiness Charge Precure!'}, {'mal_id': 28669, 'type': 'anime', 'url': 'https://myanimelist.net/anime/28669/Go_Princess_Precure', 'title': 'Go! Princess Precure'}, {'mal_id': 31884, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31884/Mahoutsukai_Precure', 'title': 'Mahoutsukai Precure!'}, {'mal_id': 36593, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36593/Hug_tto_Precure', 'title': 'Hug tto! Precure'}], 'Side story': [{'mal_id': 3051, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3051/Yes_Precure_5_Movie__Kagami_no_Kuni_no_Miracle_Daibouken', 'title': 'Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!'}], 'Sequel': [{'mal_id': 3692, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3692/Yes_Precure_5_GoGo', 'title': 'Yes! Precure 5 GoGo!'}], 'Spin-off': [{'mal_id': 5753, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5753/Precure_All_Stars_Movie_DX__Minna_Tomodachi☆Kiseki_no_Zenin_Daishuugou', 'title': 'Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!'}, {'mal_id': 8133, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8133/Precure_All_Stars_Movie_DX2__Kibou_no_Hikari☆Rainbow_Jewel_wo_Mamore', 'title': 'Precure All Stars Movie DX2: Kibou no Hikari☆Rainbow Jewel wo Mamore!'}, {'mal_id': 9979, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9979/Precure_All_Stars_Movie_DX3__Mirai_ni_Todoke_Sekai_wo_Tsunagu☆Nijiiro_no_Hana', 'title': 'Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana'}, {'mal_id': 34302, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34302/Precure_Dream_Stars_Movie', 'title': 'Precure Dream Stars! Movie'}, {'mal_id': 34303, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34303/Minna_Atsumare_Precure_Festival_Precure_on_Miracle_Magical_☆_Stage', 'title': 'Minna Atsumare! Precure Festival Precure on Miracle Magical ☆ Stage'}]}","Action, Fantasy, Magic, School, Shoujo"
1491,1985,UFO Robo Grendizer,7.65,168,1231.0,4608,,"{'Adaptation': [{'mal_id': 8558, 'type': 'manga', 'url': 'https://myanimelist.net/manga/8558/UFO_Robo_Grendizer', 'title': 'UFO Robo Grendizer'}], 'Other': [{'mal_id': 4387, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4387/UFO_Robo_Grendizer_tai_Great_Mazinger', 'title': 'UFO Robo Grendizer tai Great Mazinger'}], 'Alternative version': [{'mal_id': 5620, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5620/Uchuu_Enban_Dai-Sensou', 'title': 'Uchuu Enban Dai-Sensou'}, {'mal_id': 31467, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31467/Grendizer_Giga', 'title': 'Grendizer Giga'}]}","Mecha, Sci-Fi, Shounen"
6444,1990,Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,6.12,34,7002.0,8414,,"{'Adaptation': [{'mal_id': 9714, 'type': 'manga', 'url': 'https://myanimelist.net/manga/9714/Mahou_Gakuen_Lunar', 'title': '~Mahou Gakuen~ Lunar!'}]}","Fantasy, Magic, Comedy"
4892,2002,Heroic Age,7.63,1908,1271.0,1069,,"{'Adaptation': [{'mal_id': 23222, 'type': 'manga', 'url': 'https://myanimelist.net/manga/23222/Heroic_Age', 'title': 'Heroic Age'}]}","Action, Mecha, Military, Sci-Fi, Space"
13424,2013,Taiho Shichau zo The Movie,7.41,144,1996.0,4936,,"{'Adaptation': [{'mal_id': 1292, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1292/Taiho_Shichau_zo', 'title': 'Taiho Shichau zo'}], 'Prequel': [{'mal_id': 1372, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1372/Taiho_Shichau_zo_TV', 'title': 'Taiho Shichau zo (TV)'}, {'mal_id': 1577, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1577/Taiho_Shichau_zo', 'title': 'Taiho Shichau zo'}, {'mal_id': 2011, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2011/Taiho_Shichau_zo_Special', 'title': 'Taiho Shichau zo Special'}, {'mal_id': 4162, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4162/Taiho_Shichau_zo__Nagisa_no_Koutsuu_Yuudou', 'title': 'Taiho Shichau zo: Nagisa no Koutsuu Yuudou'}], 'Spin-off': [{'mal_id': 2010, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2010/Taiho_Shichau_zo_in_America', 'title': 'Taiho Shichau zo in America'}], 'Sequel': [{'mal_id': 2014, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2014/Taiho_Shichau_zo__Second_Season', 'title': 'Taiho Shichau zo: Second Season'}, {'mal_id': 3000, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3000/Taiho_Shichau_zo__Full_Throttle', 'title': 'Taiho Shichau zo: Full Throttle'}]}","Action, Comedy, Drama, Police, Shounen"
5517,2027,Wind: A Breath of Heart Specials,6.3,46,6422.0,7448,,"{'Parent story': [{'mal_id': 546, 'type': 'anime', 'url': 'https://myanimelist.net/anime/546/Wind__A_Breath_of_Heart_TV', 'title': 'Wind: A Breath of Heart (TV)'}]}","Comedy, Romance, School"
9542,2067,Gekiganger 3: The Movie,6.6,88,5204.0,5964,,"{'Spin-off': [{'mal_id': 218, 'type': 'anime', 'url': 'https://myanimelist.net/anime/218/Kidou_Senkan_Nadesico', 'title': 'Kidou Senkan Nadesico'}]}","Action, Comedy, Mecha, Parody, Sci-Fi, Shounen"
13223,2071,Hana yori Dango (Movie),6.5,161,5601.0,4765,,"{'Alternative setting': [{'mal_id': 106, 'type': 'anime', 'url': 'https://myanimelist.net/anime/106/Hana_yori_Dango', 'title': 'Hana yori Dango'}]}","Drama, Romance, Shoujo"
10154,2154,Tekkon Kinkreet,8.07,1385,472.0,1342,"At the 2006 Mainichi Film Awards, the film won the Best Film Award. At the 2008 Tokyo International Anime Fair it won the Best Original Story and Best Art Direction awards. It also won the 2008 Japan Academy Prize for Animation of the Year.","{'Adaptation': [{'mal_id': 442, 'type': 'manga', 'url': 'https://myanimelist.net/manga/442/Tekkon_Kinkreet', 'title': 'Tekkon Kinkreet'}], 'Alternative version': [{'mal_id': 32247, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32247/Tekkon_Kinkreet_Pilot', 'title': 'Tekkon Kinkreet Pilot'}]}","Action, Adventure, Psychological, Supernatural"
11854,2181,TANK S.W.A.T. 01,5.08,35,8972.0,7232,,"{'Spin-off': [{'mal_id': 1151, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1151/Dominion', 'title': 'Dominion'}]}","Police, Mecha"
11574,2215,Kishin Taisen Gigantic Formula,6.94,122,3782.0,4828,,[],"Mecha, Sci-Fi"
4946,2217,Hand Maid May Special,6.82,310,4237.0,4349,,"{'Prequel': [{'mal_id': 318, 'type': 'anime', 'url': 'https://myanimelist.net/anime/318/Hand_Maid_May', 'title': 'Hand Maid May'}]}","Ecchi, Comedy, Harem, Romance, Sci-Fi"
3066,2221,Aishite Knight,6.77,96,4434.0,4963,,"{'Adaptation': [{'mal_id': 7949, 'type': 'manga', 'url': 'https://myanimelist.net/manga/7949/Aishite_Knight', 'title': 'Aishite Knight'}]}","Comedy, Romance, Shoujo"
5727,2261,Malice@Doll,5.78,55,7846.0,6751,,[],"Horror, Psychological, Sci-Fi"
1965,2268,Tatakae! Chou Robot Seimeitai Transformers,7.62,276,1312.0,4392,,"{'Sequel': [{'mal_id': 925, 'type': 'anime', 'url': 'https://myanimelist.net/anime/925/Transformers_Headmasters', 'title': 'Transformers Headmasters'}], 'Alternative setting': [{'mal_id': 1675, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1675/Transformers_Micron_Densetsu', 'title': 'Transformers Micron Densetsu'}, {'mal_id': 2284, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2284/Transformers__Car_Robots', 'title': 'Transformers: Car Robots'}, {'mal_id': 7862, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7862/Transformers__Robot_Masters', 'title': 'Transformers: Robot Masters'}], 'Side story': [{'mal_id': 2265, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2265/Transformers_the_Movie', 'title': 'Transformers the Movie'}], 'Spin-off': [{'mal_id': 5070, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5070/Beast_Wars_Second_Chou_Seimeitai_Transformers', 'title': 'Beast Wars Second Chou Seimeitai Transformers'}, {'mal_id': 6800, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6800/Transformers__Scramble_City', 'title': 'Transformers: Scramble City'}], 'Other': [{'mal_id': 19171, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19171/Sanjougattai_Transformers_Go', 'title': 'Sanjougattai Transformers Go!'}]}","Sci-Fi, Adventure, Mecha, Shounen"
13464,2274,CLAMP in Wonderland,6.94,622,3767.0,3234,,"{'Sequel': [{'mal_id': 2768, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2768/CLAMP_in_Wonderland_2', 'title': 'CLAMP in Wonderland 2'}]}",Music
6634,2372,Enbo,7.25,258,,3499,,"{'Adaptation': [{'mal_id': 12034, 'type': 'manga', 'url': 'https://myanimelist.net/manga/12034/Enbo', 'title': 'Enbo'}]}","Hentai, Drama"
2239,2400,Ghost Sweeper GS Mikami,7.26,116,2564.0,4337,,"{'Adaptation': [{'mal_id': 3822, 'type': 'manga', 'url': 'https://myanimelist.net/manga/3822/GS_Mikami_Gokuraku_Daisakusen', 'title': 'GS Mikami Gokuraku Daisakusen!!'}], 'Side story': [{'mal_id': 3037, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3037/GS_Mikami__Gokuraku_Daisakusen', 'title': 'GS Mikami: Gokuraku Daisakusen!!'}]}","Comedy, Supernatural"
11544,2412,Cambrian,5.86,77,,5922,,"{'Adaptation': [{'mal_id': 28975, 'type': 'manga', 'url': 'https://myanimelist.net/manga/28975/Cambrian', 'title': 'Cambrian'}]}",Hentai
7855,2437,Elfina: Yoru e to Urareta Oukoku de... The Animation,6.15,50,,6132,,"{'Adaptation': [{'mal_id': 78949, 'type': 'manga', 'url': 'https://myanimelist.net/manga/78949/Elfina__Yoru_e_to_Urareta_Oukoku_de_Inyoru_no_Oukyuu-hen', 'title': 'Elfina: Yoru e to Urareta Oukoku de... Inyoru no Oukyuu-hen'}, {'mal_id': 97141, 'type': 'manga', 'url': 'https://myanimelist.net/manga/97141/Elfina__Yoru_e_to_Urareta_Oukoku_de_Houshi_Kokka-hen', 'title': 'Elfina: Yoru e to Urareta Oukoku de... Houshi Kokka-hen'}]}","Fantasy, Hentai"
10499,2550,Onboro Film,6.48,61,5689.0,7073,,[],"Comedy, Parody"
5469,2622,Big Wars: Kami Utsu Akaki Kouya ni,5.57,67,8244.0,7069,,[],"Action, Military, Sci-Fi, Space"
11064,2695,Mobile Suit Gundam 0083: The Fading Light of Zeon,6.83,149,4202.0,4634,,"{'Adaptation': [{'mal_id': 13420, 'type': 'manga', 'url': 'https://myanimelist.net/manga/13420/Kidou_Senshi_Gundam_0083__Hoshikuzu_no_Eiyuu_-_Operation_Stardust', 'title': 'Kidou Senshi Gundam 0083: Hoshikuzu no Eiyuu - Operation Stardust'}], 'Alternative setting': [{'mal_id': 84, 'type': 'anime', 'url': 'https://myanimelist.net/anime/84/Mobile_Suit_Gundam_0083__Stardust_Memory', 'title': 'Mobile Suit Gundam 0083: Stardust Memory'}]}","Action, Sci-Fi, Adventure, Space, Mecha"
6743,2751,Miyori no Mori,7.02,144,3503.0,4028,,"{'Adaptation': [{'mal_id': 20776, 'type': 'manga', 'url': 'https://myanimelist.net/manga/20776/Miyori_no_Mori', 'title': 'Miyori no Mori'}]}","Slice of Life, Fantasy, Drama"
5223,2772,Juushin Enbu: Hero Tales,6.94,424,3777.0,2716,,"{'Adaptation': [{'mal_id': 2033, 'type': 'manga', 'url': 'https://myanimelist.net/manga/2033/Juushin_Enbu', 'title': 'Juushin Enbu'}]}","Action, Fantasy, Shounen"
6394,2781,Saint Luminous Jogakuin,6.13,30,7004.0,6876,,"{'Adaptation': [{'mal_id': 93054, 'type': 'manga', 'url': 'https://myanimelist.net/manga/93054/Sei_Luminous_Jogakuin', 'title': 'Sei Luminous Jogakuin'}]}","Mystery, Psychological, Supernatural"
13496,2791,Makasete Iruka!,6.21,31,6719.0,8072,,"{'Adaptation': [{'mal_id': 96133, 'type': 'manga', 'url': 'https://myanimelist.net/manga/96133/Makasete_Iruka', 'title': 'Makasete Iruka!'}]}","Action, Comedy, School"
9249,2796,Afro-Ken,5.2,91,8823.0,6437,,[],"Comedy, Kids"
11922,2799,Hello! Sandybell,7.12,117,3122.0,5759,,[],"Adventure, Romance, Shoujo"
5953,2819,Dragon Quest: Abel Yuusha Densetsu,7.06,35,3331.0,6191,,"{'Sequel': [{'mal_id': 2229, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2229/Dragon_Quest__Dai_no_Daibouken', 'title': 'Dragon Quest: Dai no Daibouken'}]}","Action, Adventure, Fantasy, Shounen"
4009,2842,Pokemon Fushigi no Dungeon: Shutsudou Pokemon Kyuujotai Ganbaruzu!,6.61,328,5168.0,3657,,"{'Adaptation': [{'mal_id': 1693, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1693/Pokémon_Fushigi_no_Dungeon__Ginji_no_Kyuujotai', 'title': 'Pokémon Fushigi no Dungeon: Ginji no Kyuujotai'}], 'Parent story': [{'mal_id': 527, 'type': 'anime', 'url': 'https://myanimelist.net/anime/527/Pokemon', 'title': 'Pokemon'}]}","Adventure, Fantasy"
10789,2848,Kappa no Coo to Natsuyasumi,7.61,228,1327.0,3853,,[],"Adventure, Shounen"
10223,2858,Ikusa Otome Valkyrie,6.29,92,,5015,,"{'Adaptation': [{'mal_id': 75339, 'type': 'manga', 'url': 'https://myanimelist.net/manga/75339/Ikusa_Otome_Valkyrie__Anata_ni_Subete_wo_Sasagemasu_-_Megami_Hijoku-hen', 'title': 'Ikusa Otome Valkyrie: ""Anata ni Subete wo Sasagemasu"" - Megami Hijoku-hen'}], 'Sequel': [{'mal_id': 2859, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2859/Ikusa_Otome_Valkyrie_Shinshou', 'title': 'Ikusa Otome Valkyrie Shinshou'}], 'Alternative version': [{'mal_id': 5427, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5427/Ikusa_Otome_Valkyrie_2', 'title': 'Ikusa Otome Valkyrie 2'}], 'Side story': [{'mal_id': 9486, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9486/Ikusa_Otome_Valkyrie_Specials', 'title': 'Ikusa Otome Valkyrie Specials'}]}",Hentai
3169,2866,Ane☆Haramix,6.93,231,,3796,,[],Hentai
6144,2868,Kazama Mana,6.35,92,,5293,,"{'Adaptation': [{'mal_id': 73649, 'type': 'manga', 'url': 'https://myanimelist.net/manga/73649/Kazama_Mana', 'title': 'Kazama Mana'}], 'Other': [{'mal_id': 1387, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1387/Yakin_Byoutou', 'title': 'Yakin Byoutou'}]}",Hentai
322,2884,Aachi wa Ssipak,6.82,192,4222.0,4340,,[],"Action, Comedy"
4968,2907,Cyborg Kuro-chan,7.18,105,2885.0,5212,,"{'Adaptation': [{'mal_id': 8095, 'type': 'manga', 'url': 'https://myanimelist.net/manga/8095/Cyborg_Kuro-chan', 'title': 'Cyborg Kuro-chan'}]}","Comedy, Sci-Fi"
