,anime_id,title,score,score_count,rank,popularity,background,related,genre
2237,133,Green Green,6.36,3873,6155.0,935,,"{'Adaptation': [{'mal_id': 92381, 'type': 'manga', 'url': 'https://myanimelist.net/manga/92381/Green_Green', 'title': 'Green Green'}], 'Sequel': [{'mal_id': 651, 'type': 'anime', 'url': 'https://myanimelist.net/anime/651/Green_Green_Thirteen__Erolutions', 'title': 'Green Green Thirteen: Erolutions'}], 'Alternative version': [{'mal_id': 881, 'type': 'anime', 'url': 'https://myanimelist.net/anime/881/Green_Green_OVA', 'title': 'Green Green OVA'}], 'Side story': [{'mal_id': 1679, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1679/Green_Green_Specials', 'title': 'Green Green Specials'}]}","Comedy, Ecchi, Romance, School, Slice of Life"
10559,194,Macross Zero,7.64,982,1253.0,2237,,"{'Sequel': [{'mal_id': 1088, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1088/Macross', 'title': 'Macross'}], 'Side story': [{'mal_id': 5164, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5164/Macross_25th_Anniversary__All_That_VF_Macross_Zero_Version', 'title': 'Macross 25th Anniversary: All That VF Macross Zero Version'}]}","Adventure, Mecha, Military, Sci-Fi, Shounen"
10286,198,Speed Grapher,7.43,1858,1910.0,1073,,"{'Adaptation': [{'mal_id': 5434, 'type': 'manga', 'url': 'https://myanimelist.net/manga/5434/Speed_Grapher', 'title': 'Speed Grapher'}]}","Action, Mystery, Super Power"
10582,206,Lodoss-tou Senki: Eiyuu Kishi Den,7.22,494,2728.0,2727,,"{'Adaptation': [{'mal_id': 1619, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1619/Lodoss-tou_Senki__Eiyuu_Kishi_Den', 'title': 'Lodoss-tou Senki: Eiyuu Kishi Den'}], 'Alternative version': [{'mal_id': 207, 'type': 'anime', 'url': 'https://myanimelist.net/anime/207/Lodoss-tou_Senki', 'title': 'Lodoss-tou Senki'}], 'Summary': [{'mal_id': 2840, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2840/Youkoso_Lodoss-tou_e', 'title': 'Youkoso Lodoss-tou e!'}]}","Action, Adventure, Drama, Magic, Romance, Fantasy"
5562,222,Mezzo DSA,6.75,438,4537.0,3233,,"{'Prequel': [{'mal_id': 221, 'type': 'anime', 'url': 'https://myanimelist.net/anime/221/Mezzo_Forte', 'title': 'Mezzo Forte'}]}","Action, Adventure, Comedy, Mystery, Sci-Fi"
12089,244,Agatha Christie no Meitantei Poirot to Marple,6.94,53,3761.0,4944,,"{'Adaptation': [{'mal_id': 43667, 'type': 'manga', 'url': 'https://myanimelist.net/manga/43667/Agatha_Christie_no_Meitantei_Poirot_to_Marple', 'title': 'Agatha Christie no Meitantei Poirot to Marple'}]}","Historical, Mystery"
1056,247,Harukanaru Toki no Naka de: Hachiyou Shou,7.14,354,3040.0,2884,,"{'Adaptation': [{'mal_id': 1146, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1146/Harukanaru_Toki_no_Naka_de', 'title': 'Harukanaru Toki no Naka de'}], 'Alternative version': [{'mal_id': 647, 'type': 'anime', 'url': 'https://myanimelist.net/anime/647/Harukanaru_Toki_no_Naka_de__Ajisai_Yumegatari', 'title': 'Harukanaru Toki no Naka de: Ajisai Yumegatari'}], 'Sequel': [{'mal_id': 1904, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1904/Harukanaru_Toki_no_Naka_de_2__Shiroki_Ryuu_no_Miko', 'title': 'Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko'}, {'mal_id': 1905, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1905/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou_Specials', 'title': 'Harukanaru Toki no Naka de: Hachiyou Shou Specials'}], 'Side story': [{'mal_id': 1906, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1906/Harukanaru_Toki_no_Naka_de__Maihitoyo', 'title': 'Harukanaru Toki no Naka de: Maihitoyo'}, {'mal_id': 1907, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1907/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou_OVA', 'title': 'Harukanaru Toki no Naka de: Hachiyou Shou OVA'}], 'Summary': [{'mal_id': 30145, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30145/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou_Recap', 'title': 'Harukanaru Toki no Naka de: Hachiyou Shou Recap'}]}","Fantasy, Magic, Supernatural, Demons, Historical, Shoujo"
38,249,InuYasha,7.9,7603,697.0,141,"The anime won the &ldquo;Property of the Year&rdquo; award in ICv2&rsquo;s Anime Awards for both 2004 and 2005, and received third place in Animage&rsquo;s Anime Grand Prix &ldquo;Best Anime&rdquo; category in 2003.","{'Adaptation': [{'mal_id': 676, 'type': 'manga', 'url': 'https://myanimelist.net/manga/676/InuYasha', 'title': 'InuYasha'}], 'Side story': [{'mal_id': 449, 'type': 'anime', 'url': 'https://myanimelist.net/anime/449/InuYasha__Guren_no_Houraijima', 'title': 'InuYasha: Guren no Houraijima'}, {'mal_id': 450, 'type': 'anime', 'url': 'https://myanimelist.net/anime/450/InuYasha__Kagami_no_Naka_no_Mugenjo', 'title': 'InuYasha: Kagami no Naka no Mugenjo'}, {'mal_id': 451, 'type': 'anime', 'url': 'https://myanimelist.net/anime/451/InuYasha__Tenka_Hadou_no_Ken', 'title': 'InuYasha: Tenka Hadou no Ken'}, {'mal_id': 452, 'type': 'anime', 'url': 'https://myanimelist.net/anime/452/InuYasha__Toki_wo_Koeru_Omoi', 'title': 'InuYasha: Toki wo Koeru Omoi'}, {'mal_id': 4886, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4886/InuYasha__Kuroi_Tessaiga', 'title': 'InuYasha: Kuroi Tessaiga'}], 'Sequel': [{'mal_id': 6811, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6811/InuYasha__Kanketsu-hen', 'title': 'InuYasha: Kanketsu-hen'}], 'Other': [{'mal_id': 31133, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31133/Shounen_Sunday_CM_Gekijou__InuYasha-hen', 'title': 'Shounen Sunday CM Gekijou: InuYasha-hen'}]}","Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
11256,255,Jungle wa Itsumo Hare nochi Guu Final,7.74,334,1018.0,3993,The series won the 2004 Packaged Work Award during the Animation Kobe Awards.,"{'Prequel': [{'mal_id': 254, 'type': 'anime', 'url': 'https://myanimelist.net/anime/254/Jungle_wa_Itsumo_Hare_nochi_Guu_Deluxe', 'title': 'Jungle wa Itsumo Hare nochi Guu Deluxe'}]}","Slice of Life, Comedy"
13596,259,Happy☆Lesson,6.72,280,4661.0,3867,,"{'Adaptation': [{'mal_id': 1785, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1785/Happy★Lesson__Mama_Sensei_wa_Saikou', 'title': 'Happy★Lesson: Mama Sensei wa Saikou!'}], 'Alternative version': [{'mal_id': 260, 'type': 'anime', 'url': 'https://myanimelist.net/anime/260/Happy☆Lesson_TV', 'title': 'Happy☆Lesson (TV)'}]}","Comedy, Harem, Romance, School"
